,0108 1H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1751,
1,BALLOTS CAST - TOTAL.,82,
2,VOTER TURNOUT - TOTAL,,4.68
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,36,12.50
6,JUSTIN J. HURST,41,14.24
7,KATERI B. WALSH,35,12.15
8,ERNESTO E. CRUZ,30,10.42
9,VICTOR G. DAVILA,22,7.64
10,JESSE LEDERMAN.,35,12.15
11,JYNAI S. McDONALD.,20,6.94
12,KELLI P. MORIARTY-FINN,23,7.99
13,TIMOTHY RYAN,17,5.90
14,TRACYE L. WHITFIELD,29,10.07
15,WRITE-IN,0,
16,Blanks,122,
17,CITY COUNCIL WARD 1,,
18,VOTE FOR 1,,
19,ADAM GOMEZ,59,100.00
20,WRITE-IN.,0,
21,Blanks,23,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,45,37.19
24,JAMES J. FERRERA III.,28,23.14
25,RYAN HESS,10,8.26
26,LaTONIA MONROE NAYLOR,35,28.93
27,WRITE-IN.,3,2.48
28,Blanks,43,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,MARIA PEREZ.,49,98.00
32,WRITE-IN.,1,2.00
33,Blanks,32,
