,0507 5G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1572 367,
1,BALLOTS CAST - TOTAL. TURNOUT - TOTAL,,23.35
2,VOTER MAYOR,,
3,VOTE FOR 1,220,59.95
4,DOMENIC J. SARNO,74,20.16
5,ANTONETTE E. PEPE.,73,19.89
6,JOSE F. TOSADO.,0,
7,WRITE-IN.,2,
8,Blanks,,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,201,15.36
11,THOMAS ASHE.,148,11.31
12,JAMES J. FERRERA,151,11.54
13,TIMOTHY J. ROOKE,155,11.84
14,KATERI B. WALSH,43,3.28
15,BRUCE SAMUEL ADAMS JR,47,3.59
16,DAVID F. CIAMPI,64,4.89
17,JOSEPH R. FOUNTAIN,147,11.23
18,JUSTIN J. HURST,55,4.20
19,AMAAD RIVERA,72,5.50
20,CHARLES H. RUCKS,42,3.21
21,MIGUEL A. SOTO.,63,4.81
22,JOHN W. STEVENS,117,8.94
23,BUD L. WILLIAMS,4,.31
24,WRITE-IN.,536,
25,Blanks,,
