,0803 8C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1606,
1,BALLOTS CAST - TOTAL.,234,
2,VOTER TURNOUT - TOTAL,,14.57
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,91,12.28
6,JAMES J. FERRERA .,85,11.47
7,TIMOTHY ROOKE .,75,10.12
8,KATERI B. WALSH .,92,12.42
9,BUD L. WILLIAMS .,134,18.08
10,JOSHUA CARPENTER,24,3.24
11,ERNESTO E. CRUZ,77,10.39
12,JEFFERY P. DONNELLY,27,3.64
13,JUSTIN J. HURST,133,17.95
14,WRITE-IN.,3,.40
15,Blanks,430,
16,CITY COUNCIL WARD 8,,
17,VOTE FOR 1,,
18,JOHN A. LYSAK,79,37.09
19,ORLANDO RAMOS,133,62.44
20,WRITE-IN.,1,.47
21,Blanks,21,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE M. HURST,143,42.56
25,ANTONETTE PEPE.,74,22.02
26,CALVIN J. McFADDEN,117,34.82
27,WRITE-IN.,2,.60
28,Blanks,132,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER M. MURPHY,89,49.72
32,ZAIDA GOVAN.,90,50.28
33,WRITE-IN.,0,
34,Blanks,55,
