,0602 6B,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1539,
1,BALLOTS CAST - TOTAL.,433,
2,VOTER TURNOUT - TOTAL,,28.14
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,312,72.56
6,JOSE F. TOSADO.,117,27.21
7,WRITE-IN,1,.23
8,Blanks,3,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,219,14.85
12,JAMES J. FERRERA,165,11.19
13,TIMOTHY J. ROOKE .,190,12.88
14,KATERI B. WALSH .,227,15.39
15,JOSEPH R. FOUNTAIN,85,5.76
16,JUSTIN J. HURST .,131,8.88
17,AMAAD RIVERA,149,10.10
18,CHARLES H. RUCKS,110,7.46
19,MIGUEL A. SOTO.,68,4.61
20,BUD L. WILLIAMS,123,8.34
21,WRITE-IN.,8,.54
22,Blanks,690,
23,CITY COUNCIL WARD 6,,
24,VOTE FOR 1,,
25,KENNETH E. SHEA,267,88.41
26,WRITE-IN.,35,11.59
27,Blanks,131,
