,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1569,
1,BALLOTS CAST - TOTAL.,229,
2,VOTER TURNOUT - TOTAL,,14.60
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,142,62.56
6,ANTONETTE E. PEPE.,46,20.26
7,JOSE F. TOSADO.,39,17.18
8,WRITE- IN.,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,134,16.44
12,JAMES J. FERRERA,86,10.55
13,TIMOTHY J. ROOKE,112,13.74
14,KATERI B. WALSH,89,10.92
15,BRUCE SAMUEL ADAMS JR,25,3.07
16,DAVID F. CIAMPI,22,2.70
17,JOSEPH R. FOUNTAIN,53,6.50
18,JUSTIN J. HURST,65,7.98
19,AMAAD RIVERA,36,4.42
20,CHARLES H. RUCKS,41,5.03
21,MIGUEL A. SOTO.,33,4.05
22,JOHN W. STEVENS,34,4.17
23,BUD L. WILLIAMS,84,10.31
24,WRITE-IN.,1,.12
25,Blanks,330,
