,0407 4G,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1547,
1,BALLOTS CAST - TOTAL.,226,
2,VOTER TURNOUT . TOTAL,,14.61
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,165,73.33
6,ANTONETTE E. PEPE.,18,8.00
7,JOSE F. TOSADO.,42,18.67
8,WRITE-IN.,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,93,11.01
12,JAMES J. FERRERA,52,6.15
13,TIMOTHY J. ROOKE,67,7.93
14,KATERI B. WALSH,89,10.53
15,BRUCE SAMUEL ADAMS JR,26,3.08
16,DAVID F. CIAMPI,11,1.30
17,JOSEPH R. FOUNTAIN,25,2.96
18,JUSTIN J. HURST,131,15.50
19,AMAAD RIVERA,61,7.22
20,CHARLES H. RUCKS,76,8.99
21,MIGUEL A. SOTO.,49,5.80
22,JOHN W. STEVENS,17,2.01
23,BUD L. WILLIAMS,147,17.40
24,WRITE-IN.,1,.12
25,Blanks,290,
