,0807 8G,,
0,,VOTES,PERCENT
1,REGISTERED VOTERS - TOTAL,1741,
2,BALLOTS CAST - TOTAL.,420,
3,VOTER TURNOUT - TOTAL,,24.12
4,MAYOR,,
5,VOTE FOR 1,,
6,DOMENIC J. SARNO,306,73.03
7,JOSE F. TOSADO.,113,26.97
8,WRITE-IN,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,220,14.42
12,JAMES J. FERRERA,180,11.80
13,TIMOTHY J. ROOKE,195,12.78
14,KATERI B. WALSH . .,187,12.25
15,JOSEPH R. FOUNTAIN .,95,6.23
16,JUSTIN J. HURST,177,11.60
17,AMAAD RIVERA,86,5.64
18,CHARLES H. RUCKS,90,5.90
19,MIGUEL A. SOTO.,111,7.27
20,BUD L. WILLIAMS,181,11.86
21,WRITE-IN,4,.26
22,Blanks,569,
23,CITY COUNCIL WARD 8,,
24,VOTE FOR 1,,
25,JOHN A. LYSAK,198,52.52
26,ORLANDO RAMOS,179,47.48
27,WRITE-IN.,0,
28,Blanks,43,
