,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1516,
1,BALLOTS CAST - TOTAL.,46,
2,VOTER TURNOUT - TOTAL,,3.03
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,31,67.39
6,YOLANDA CANCEL.,9,19.57
7,JEFFERY P. DONNELLY,2,4.35
8,LINDA MATYS O'CONNELL,4,8.70
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,32,20.38
14,JESSE LEDERMAN.,22,14.01
15,KATERI B. WALSH,20,12.74
16,TRACYE L. WHITFIELD,27,17.20
17,LaMAR COOK,9,5.73
18,SEAN CURRAN.,8,5.10
19,KENCY GILET.,4,2.55
20,JOHNNIE RAY MCKNIGHT.,8,5.10
21,KELLI P. MORIARTY-FINN,7,4.46
22,CHRISTOPHER J. POHNER,7,4.46
23,ISRAEL RIVERA,13,8.28
24,WRITE-IN.,0,
25,Blanks,73,
