,,0304 3D,VOTES PERCENT,
0,,REGISTERED VOTERS - TOTAL,1173 104,
1,,BALLOTS CAST - TOTAL.,,8.87
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,51,49.04
5,,DOMENIC J. SARNO,9,8.65
6,,ANTONETTE E. PEPE.,44,42.31
7,,JOSE F. TOSADO.,0,
8,,WRITE-IN.,0,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE,,
11,,VOTE FOR 5,30,9.87
12,,THOMAS ASHE.,18,5.92
13,,JAMES J. FERRERA,21,6.91
14,,TIMOTHY J. ROOKE,24,7.89
15,,KATERI B. WALSH,16,5.26
16,,BRUCE SAMUEL ADAMS JR,5,1.64
17,,DAVID F. CIAMPI,7,2.30
18,,JOSEPH R. FOUNTAIN,27,8.88
19,,JUSTIN J. HURST,32,10.53
20,,AMAAD RIVERA,19,6.25
21,,CHARLES H. RUCKS,37,12.17
22,,MIGUEL A. SOTO.,12,3.95
23,,JOHN W. STEVENS,56,18.42
24,,BUD L. WILLIAMS,0,
25,,WRITE-IN.,216,
26,,Blanks,,
