,0104 1D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1799,
1,BALLOTS CAST - TOTAL.,399,
2,VOTER TURNOUT - TOTAL,,22.18
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,179,46.13
6,JOSE F. TOSADO.,208,53.61
7,WRITE-IN,1,.26
8,Blanks,11,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,150,12.79
11,JAMES J. FERRERA,132,11.25
12,TIMOTHY J. ROOKE,103,8.78
13,KATERI B. WALSH .,103,8.78
14,JOSEPH R. FOUNTAIN,77,6.56
15,JUSTIN J. HURST,84,7.16
16,AMAAD RIVERA,163,13.90
17,CHARLES H. RUCKS,56,4.77
18,MIGUEL A. SOTO.,156,13.30
19,BUD L. WILLIAMS,143,12.19
20,WRITE-IN,6,.51
21,Blanks,822,
22,CITY COUNCIL WARD 1,,
23,VOTE FOR 1,,
24,ZAIDA LUNA,227,92.28
25,WRITE-IN.,19,7.72
26,Blanks,153,
