,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1593,
1,BALLOTS CAST - TOTAL.,72,
2,VOTER TURNOUT - TOTAL,,4.52
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,45,18.91
6,JUSTIN J. HURST,28,11.76
7,KATERI B. WALSH .,42,17.65
8,ERNESTO E. CRUZ . .,10,4.20
9,VICTOR G. DAVILA . . .,6,2.52
10,JESSE LEDERMAN. . . .,29,12.18
11,JYNAI S. McDONALD.,10,4.20
12,KELLI P. MORIARTY-FINN,23,9.66
13,TIMOTHY RYAN,25,10.50
14,TRACYE L. WHITFIELD,20,8.40
15,WRITE-IN.,0,
16,Blanks,122,
17,CITY COUNCIL WARD 8,,
18,VOTE FOR 1,,
19,ORLANDO RAMOS,45,84.91
20,WRITE-IN.,8,15.09
21,Blanks,19,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,36,35.29
24,JAMES J. FERRERA III.,31,30.39
25,RYAN HESS,16,15.69
26,LaTONIA MONROE NAYLOR,18,17.65
27,WRITE-IN,1,.98
28,Blanks,42,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,33,53.23
32,ZAIDA GOVAN.,28,45.16
33,WRITE-IN.,1,1.61
34,Blanks,10,
