,REGISTERED VOTERS - TOTAL,1430,
0,BALLOTS CAST - TOTAL.,116,
1,VOTER TURNOUT - TOTAL,,8.11
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,89,83.18
5,SALVATORE S. CIRCOSTA,17,15.89
6,WRITE-IN,1,.93
7,Blanks,9,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,45,11.60
11,JUSTIN J. HURST,74,19.07
12,TIMOTHY J. ROOKE,38,9.79
13,KATERI B. WALSH,54,13.92
14,BUD L. WILLIAMS,85,21.91
15,LaMAR COOK,36,9.28
16,JEFFERY P. DONNELLY,7,1.80
17,JESSE L. LEDERMAN.,25,6.44
18,"KENNETH S. POOLER, JR",12,3.09
19,ALEXANDER J. SHERMAN.,12,3.09
20,WRITE-IN.,0,
21,Blanks,192,
22,WARD FOUR COUNCILLOR,,
23,VOTE FOR 1,,
24,E. HENRY TWIGGS,67,63.81
25,VICTORIA E. ROWE,38,36.19
26,WRITE-IN.,0,
27,Blanks,11,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),69,69.70
31,NO (NO),30,30.30
32,Blanks,17,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,YES (SI),56,62.22
36,NO (NO),34,37.78
37,Blanks,26,
