,0402 4B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1462,
1,BALLOTS CAST - TOTAL.,292,
2,VOTER TURNOUT - TOTAL,,19.97
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,196,67.82
6,JOSE F. TOSADO.,92,31.83
7,WRITE-IN.,1,.35
8,Blanks,3,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,103,10.76
12,JAMES J. FERRERA,70,7.31
13,TIMOTHY J. ROOKE,70,7.31
14,KATERI B. WALSH,93,9.72
15,JOSEPH R. FOUNTAIN,29,3.03
16,JUSTIN J. HURST,154,16.09
17,AMAAD RIVERA,79,8.25
18,CHARLES H. RUCKS,124,12.96
19,MIGUEL A. SOTO.,55,5.75
20,BUD L. WILLIAMS,178,18.60
21,WRITE-IN.,2,.21
22,Blanks,503,
23,CITY COUNCIL WARD 4,,
24,VOTE FOR 1,,
25,E. HENRY TWIGGS,202,98.54
26,WRITE-IN.,3,1.46
27,Blanks,87,
