,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1539,
1,BALLOTS CAST - TOTAL.,396,
2,VOTER TURNOUT - TOTAL,,25.73
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,313,79.04
6,JOSE F. TOSADO.,79,19.95
7,WRITE-IN,4,1.01
8,Blanks,0,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,244,16.07
11,JAMES J. FERRERA,195,12.85
12,TIMOTHY J. ROOKE,232,15.28
13,KATERI B. WALSH .,224,14.76
14,JOSEPH R. FOUNTAIN,110,7.25
15,JUSTIN J. HURST,118,7.77
16,AMAAD RIVERA,110,7.25
17,CHARLES H. RUCKS,86,5.67
18,MIGUEL A. SOTO.,46,3.03
19,BUD L. WILLIAMS,146,9.62
20,WRITE-IN,7,.46
21,Blanks,462,
22,CITY COUNCIL WARD 6,,
23,VOTE FOR 1,,
24,KENNETH E. SHEA,253,98.06
25,WRITE-IN.,5,1.94
26,Blanks,138,
