,0704 7D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1516,
1,BALLOTS CAST . TOTAL TURNOUT - TOTAL,375,24.74
2,VOTER MAYOR,,
3,VOTE FOR 1,231,61.60
4,DOMENIC J. SARNO,110,29.33
5,ANTONETTE E. PEPE.,33,8.80
6,JOSE F. TOSADO.,1,.27
7,WRITE-IN.,0,
8,Blanks,,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,218,16.17
11,THOMAS ASHE.,174,12.91
12,JAMES J. FERRERA,197,14.61
13,TIMOTHY J. ROOKE,172,12.76
14,KATERI B. WALSH,86,6.38
15,BRUCE SAMUEL ADAMS JR,47,3.49
16,DAVID F. CIAMPI,64,4.75
17,JOSEPH R. FOUNTAIN,105,7.79
18,JUSTIN J. HURST,49,3.64
19,AMAAD RIVERA,38,2.82
20,CHARLES H. RUCKS,34,2.52
21,MIGUEL A. SOTO.,56,4.15
22,JOHN W. STEVENS,102,7.57
23,BUD L. WILLIAMS,6,.45
24,WRITE-IN.,527,
25,Blanks,,
