,REGISTERED VOTERS - TOTAL,1376,
0,BALLOTS CAST - TOTAL.,237,
1,VOTER TURNOUT - TOTAL,,17.22
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,185,79.40
5,SALVATORE S. CIRCOSTA,47,20.17
6,WRITE-IN.,1,.43
7,Blanks,4,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,137,15.29
11,JUSTIN J. HURST,138,15.40
12,TIMOTHY J. ROOKE,125,13.95
13,KATERI B. WALSH,127,14.17
14,BUD L. WILLIAMS,127,14.17
15,LaMAR COOK,42,4.69
16,JEFFERY P. DONNELLY,60,6.70
17,JESSE L. LEDERMAN.,68,7.59
18,"KENNETH S. POOLER, JR",39,4.35
19,ALEXANDER J. SHERMAN.,33,3.68
20,WRITE-IN.,0,
21,Blanks,289,
22,WARD FIVE COUNCILLOR VOTE FOR 1,,
23,CLODO CONCEPCION,82,35.81
24,MARCUS J. WILLIAMS,147,64.19
25,WRITE-IN.,0,
26,Blanks,8,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI),143,63.27
30,NO (NO),83,36.73
31,Blanks,11,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI).,125,58.69
35,NO (NO),88,41.31
36,Blanks,24,
