,,0205 2E,VOTES 1636,PERCENT
0,,REGISTERED VOTERS - TOTAL,252,
1,,BALLOTS CAST - TOTAL.,,15.40
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,172,68.80
5,,DOMENIC J. SARNO,31,12.40
6,,ANTONETTE E. PEPE.,47,18.80
7,,JOSE F. TOSADO.,0,
8,,WRITE-IN.,2,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE,,
11,,VOTE FOR 5,151,16.45
12,,THOMAS ASHE.,90,9.80
13,,JAMES J. FERRERA,154,16.78
14,,TIMOTHY J. ROOKE,104,11.33
15,,KATERI B. WALSH,46,5.01
16,,BRUCE SAMUEL ADAMS JR,25,2.72
17,,DAVID F. CIAMPI,60,6.54
18,,JOSEPH R. FOUNTAIN,51,5.56
19,,JUSTIN J. HURST,42,4.58
20,,AMAAD RIVERA,40,4.36
21,,CHARLES H. RUCKS,37,4.03
22,,MIGUEL A. SOTO.,33,3.59
23,,JOHN W. STEVENS,81,8.82
24,,BUD L. WILLIAMS,4,.44
25,,WRITE-IN.,342,
