,0108 1H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1700,
1,BALLOTS CAST - TOTAL.,126,
2,VOTER TURNOUT - TOTAL,,7.41
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,44,13.25
6,JAMES J. FERRERA,51,15.36
7,TIMOTHY ROOKE,31,9.34
8,KATERI B. WALSH .,32,9.64
9,BUD L. WILLIAMS .,51,15.36
10,JOSHUA CARPENTER,8,2.41
11,ERNESTO E. CRUZ,50,15.06
12,JEFFERY P. DONNELLY,13,3.92
13,JUSTIN J. HURST,50,15.06
14,WRITE-IN.,2,.60
15,Blanks,297,
16,CITY COUNCIL WARD 1,,
17,VOTE FOR 1,,
18,ZAIDA LUNA,53,46.90
19,JOSE L. CLAUDIO,60,53.10
20,WRITE-IN.,0,
21,Blanks,13,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE M. HURST,61,43.26
25,ANTONETTE PEPE.,35,24.82
26,CALVIN J. McFADDEN,45,31.91
27,WRITE-IN,0,
28,Blanks,111,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,NORMAN ROLDAN,46,42.20
32,ROSA PEREZ,63,57.80
33,WRITE-IN.,0,
34,Blanks,17,
