,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1516,
1,BALLOTS CAST - TOTAL.,119,
2,VOTER TURNOUT - TOTAL,,7.85
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,84,71.19
6,YOLANDA CANCEL.,33,27.97
7,JEFFERY P. DONNELLY,0,
8,LINDA MATYS 0'CONNELL,1,.85
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,61,13.29
14,JESSE LEDERMAN.,58,12.64
15,KATERI B. WALSH,64,13.94
16,TRACYE L. WHITFIELD,45,9.80
17,LaMAR COOK,22,4.79
18,SEAN CURRAN.,52,11.33
19,KENCY GILET.,14,3.05
20,JOHNNIE RAY MCKNIGHT.,23,5.01
21,KELLI P. MORIARTY-FINN,35,7.63
22,CHRISTOPHER J. POHNER,58,12.64
23,ISRAEL RIVERA,25,5.45
24,WRITE-IN.,2,.44
25,Blanks,136,
