,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1549,
1,BALLOTS CAST - TOTAL.,175,
2,VOTER TURNOUT - TOTAL,,11.30
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,102,62.96
6,YOLANDA CANCEL.,40,24.69
7,JEFFERY P. DONNELLY,6,3.70
8,LINDA MATYS 0'CONNELL,13,8.02
9,WRITE-IN.,1,.62
10,Blanks,13,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,JUSTIN J. HURST,103,17.88
13,JESSE LEDERMAN.,122,21.18
14,KATERI B. WALSH,62,10.76
15,TRACYE L. WHITFIELD,103,17.88
16,LaMAR COOK,44,7.64
17,SEAN CURRAN.,26,4.51
18,KENCY GILET.,10,1.74
19,JOHNNIE RAY MCKNIGHT.,18,3.13
20,KELLI P. MORIARTY-FINN,35,6.08
21,CHRISTOPHER J. POHNER,15,2.60
22,ISRAEL RIVERA,36,6.25
23,WRITE-IN.,2,.35
24,Blanks,299,
25,CITY COUNCIL WARD 4,,
26,VOTE FOR 1,,
27,MALO L. BROWN,68,40.00
28,LORENZO D. GAINES.,15,8.82
29,LARRY LAWSON,7,4.12
30,JYNAI S. MCDONALD.,73,42.94
31,"GEORGE A. SAVAGE, JR.",7,4.12
32,WRITE-IN.,0,
33,Blanks,5,
