,0104 1D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1590,
1,BALLOTS CAST - TOTAL,182,
2,VOTER TURNOUT - TOTAL,,11.45
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,49,12.56
6,JAMES J. FERRERA,65,16.67
7,TIMOTHY ROOKE,36,9.23
8,KATERI B. WALSH .,36,9.23
9,BUD L. WILLIAMS .,49,12.56
10,JOSHUA CARPENTER,15,3.85
11,ERNESTO E. CRUZ,93,23.85
12,JEFFERY P. DONNELLY,10,2.56
13,JUSTIN J. HURST,37,9.49
14,WRITE-IN.,0,
15,Blanks,520,
16,CITY COUNCIL WARD 1,,
17,VOTE FOR 1,,
18,ZAIDA LUNA,120,67.42
19,JOSE L. CLAUDIO,58,32.58
20,WRITE-IN.,0,
21,Blanks,4,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE M. HURST,62,39.24
25,ANTONETTE PEPE.,58,36.71
26,CALVIN J. McFADDEN,38,24.05
27,WRITE-Il,0,
28,Blanks,206,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,NORMAN ROLDAN,56,35.22
32,ROSA PEREZ,102,64.15
33,WRITE-IN.,1,.63
34,Blanks,23,
