,0205 2E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1636,
1,BALLOTS CAST - TOTAL.,400,
2,VOTER TURNOUT - TOTAL,,24.45
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,303,76.32
6,JOSE F. TOSADO.,93,23.43
7,WRITE-IN,1,.25
8,Blanks,3,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,264,17.08
11,JAMES J. FERRERA,201,13.00
12,TIMOTHY J. ROOKE .,244,15.78
13,KATERI B. WALSH .,190,12.29
14,JOSEPH R. FOUNTAIN,135,8.73
15,JUSTIN J. HURST .,85,5.50
16,AMAAD RIVERA,95,6.14
17,CHARLES H. RUCKS,93,6.02
18,MIGUEL A. SOTO.,69,4.46
19,BUD L. WILLIAMS,163,10.54
20,WRITE-IN,7,.45
21,Blanks,454,
22,CITY COUNCIL WARD 2,,
23,VOTE FOR 1,,
24,MICHAEL A. FENTON.,301,98.69
25,WRITE-IN.,4,1.31
26,Blanks,95,
