,,0208 2H,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1608,
1,,BALLOTS CAST - TOTAL.,166,
2,,VOTER TURNOUT - TOTAL,,10.32
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS M. ASHE.,104,17.66
6,,JAMES J. FERRERA,57,9.68
7,,TIMOTHY ROOKE,83,14.09
8,,KATERI B. WALSH .,69,11.71
9,,BUD L. WILLIAMS .,73,12.39
10,,JOSHUA CARPENTER .,28,4.75
11,,ERNESTO E. CRUZ,49,8.32
12,,JEFFERY P. DONNELLY,42,7.13
13,,JUSTIN J. HURST,83,14.09
14,,WRITE-IN.,1,.17
15,,Blanks,241,
16,,CITY COUNCIL WARD 2,,
17,,VOTE FOR 1,,
18,,MICHAEL A. FENTON.,119,100.00
19,,WRITE-IN.,0,
20,,Blanks,47,
21,,SCHOOL COMMITTEE AT LARGE,,
22,,VOTE FOR 2,,
23,,DENISE M. HURST,100,41.15
24,,ANTONETTE PEPE.,77,31.69
25,,CALVIN J. McFADDEN,65,26.75
26,,WRITE-IN.,1,.41
27,,Blanks,89,
28,,SCHOOL COMMITTEE DISTRICT 4,,
29,,VOTE FOR 1,,
30,,PETER M. MURPHY,108,73.47
31,,ZAIDA GOVAN.,39,26.53
32,,WRITE-IN.,0,
33,,Blanks,19,
