,,0808 8H,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1617,
1,,BALLOTS CAST - TOTAL.,186,
2,,VOTER TURNOUT - TOTAL,,11.50
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS M. ASHE.,76,13.08
6,,JAMES J. FERRERA,70,12.05
7,,TIMOTHY ROOKE .,54,9.29
8,,KATERI B. WALSH . .,72,12.39
9,,BUD L. WILLIAMS .,96,16.52
10,,JOSHUA CARPENTER .,24,4.13
11,,ERNESTO E. CRUZ .,61,10.50
12,,JEFFERY P. DONNELLY,28,4.82
13,,JUSTIN J. HURST,100,17.21
14,,WRITE-IN.,0,
15,,Blanks,349,
16,,CITY COUNCIL WARD 8,,
17,,VOTE FOR 1,,
18,,JOHN A. LYSAK,54,32.93
19,,ORLANDO RAMOS,110,67.07
20,,WRITE-IN,0,
21,,Blanks,22,
22,,SCHOOL COMMITTEE AT LARGE,,
23,,VOTE FOR 2,,
24,,DENISE M. HURST,124,48.06
25,,ANTONETTE PEPE.,58,22.48
26,,CALVIN J. McFADDEN,76,29.46
27,,WRITE-IN.,0,
28,,Blanks,114,
29,,SCHOOL COMMITTEE DISTRICT 4,,
30,,VOTE FOR 1,,
31,,PETER M. MURPHY,68,45.95
32,,ZAIDA GOVAN.,80,54.05
33,,WRITE-IN.,0,
34,,Blanks,38,
