,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1556,
1,BALLOTS CAST - TOTAL.,180,
2,VOTER TURNOUT - TOTAL,,11.57
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,142,81.14
6,YOLANDA CANCEL.,24,13.71
7,JEFFERY P. DONNELLY,6,3.43
8,LINDA MATYS O'CONNELL,3,1.71
9,WRITE-IN.,0,
10,Blanks,5,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,141,22.78
14,JESSE LEDERMAN.,71,11.47
15,KATERI B. WALSH,67,10.82
16,TRACYE L. WHITFIELD,106,17.12
17,LaMAR COOK,64,10.34
18,SEAN CURRAN.,28,4.52
19,KENCY GILET.,15,2.42
20,JOHNNIE RAY MCKNIGHT.,41,6.62
21,KELLI P. MORIARTY-FINN,21,3.39
22,CHRISTOPHER J. POHNER,25,4.04
23,ISRAEL RIVERA,39,6.30
24,WRITE-IN.,1,.16
25,Blanks,278,
26,CITY COUNCIL WARD 4,,
27,VOTE FOR 1,,
28,MALO L. BROWN,93,53.14
29,LORENZO D. GAINES.,32,18.29
30,LARRY LAWSON,6,3.43
31,JYNAI S. MCDONALD.,40,22.86
32,"GEORGE A. SAVAGE, JR.",4,2.29
33,WRITE-IN.,0,
34,Blanks,5,
