,,0806 8F,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1670,
1,,BALLOTS CAST - TOTAL.,201,
2,,VOTER TURNOUT - TOTAL,,12.04
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS M. ASHE.,89,13.40
6,,JAMES J. FERRERA,77,11.60
7,,TIMOTHY ROOKE,88,13.25
8,,KATERI B. WALSH . .,75,11.30
9,,BUD L. WILLIAMS .,76,11.45
10,,JOSHUA CARPENTER .,25,3.77
11,,ERNESTO E. CRUZ,73,10.99
12,,JEFFERY P. DONNELLY,61,9.19
13,,JUSTIN J. HURST,100,15.06
14,,WRITE-IN.,0,
15,,Blanks,341,
16,,CITY COUNCIL WARD 8 VOTE FOR 1,,
17,,JOHN A. LYSAK,61,31.61
18,,ORLANDO RAMOS,132,68.39
19,,WRITE-IN.,0,
20,,Blanks,8,
21,,SCHOOL COMMITTEE AT LARGE,,
22,,VOTE FOR 2,,
23,,DENISE M. HURST,112,37.84
24,,ANTONETTE PEPE.,90,30.41
25,,CALVIN J. McFADDEN,94,31.76
26,,WRITE-IN.,0,
27,,Blanks,106,
28,,SCHOOL COMMITTEE DISTRICT 4,,
29,,VOTE FOR 1,,
30,,PETER M. MURPHY,76,46.06
31,,ZAIDA GOVAN.,89,53.94
32,,WRITE-IN.,0,
33,,Blanks,36,
