,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1599,
1,BALLOTS CAST - TOTAL.,333,
2,VOTER TURNOUT - TOTAL,,20.83
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,189,57.10
6,ANTONETTE E. PEPE.,84,25.38
7,JOSE F. TOSADO.,57,17.22
8,WRITE-IN.,1,.30
9,Blanks,2,
10,,,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,THOMAS ASHE.,187,14.91
14,JAMES J. FERRERA,131,10.45
15,TIMOTHY J. ROOKE,191,15.23
16,KATERI B. WALSH,143,11.40
17,BRUCE SAMUEL ADAMS JR,97,7.74
18,DAVID F. CIAMPI .,26,2.07
19,JOSEPH R. FOUNTAIN,126,10.05
20,JUSTIN J. HURST,71,5.66
21,AMAAD RIVERA .,50,3.99
22,CHARLES H. RUCKS .,35,2.79
23,MIGUEL A. SOTO.,44,3.51
24,JOHN W. STEVENS,37,2.95
25,BUD L. WILLIAMS,113,9.01
26,WRITE-IN.,3,.24
27,Blanks,411,
