,0505 5E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1722,
1,BALLOTS CAST - TOTAL.,336,
2,VOTER TURNOUT - TOTAL,,19.51
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,244,75.08
6,SALVATORE S. CIRCOSTA,80,24.62
7,WRITE-IN.,1,.31
8,Blanks,11,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,192,15.53
12,JUSTIN J. HURST,211,17.07
13,TIMOTHY J. ROOKE,146,11.81
14,KATERI B. WALSH,182,14.72
15,BUD L. WILLIAMS,231,18.69
16,LaMAR COOK,73,5.91
17,JEFFERY P. DONNELLY,50,4.05
18,JESSE L. LEDERMAN.,79,6.39
19,"KENNETH S. POOLER, JR",28,2.27
20,ALEXANDER J. SHERMAN.,44,3.56
21,WRITE-IN.,0,
22,Blanks,444,
23,WARD FIVE COUNCILLOR VOTE FOR 1,,
24,CLODO CONCEPCION,111,36.27
25,MARCUS J. WILLIAMS,195,63.73
26,WRITE-IN,0,
27,Blanks,30,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),220,71.90
31,NO (NO),86,28.10
32,Blanks,30,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,"YES (SI),",195,67.24
36,NO (NO),95,32.76
37,Blanks,46,
