,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1720,
1,BALLOTS CAST - TOTAL.,166,
2,VOTER TURNOUT - TOTAL,,9.65
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,112,71.34
6,YOLANDA CANCEL.,38,24.20
7,JEFFERY P. DONNELLY,3,1.91
8,LINDA MATYS O'CONNELL,3,1.91
9,WRITE-IN.,1,.64
10,Blanks,9,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,116,21.36
14,JESSE LEDERMAN.,81,14.92
15,KATERI B. WALSH,63,11.60
16,TRACYE L. WHITFIELD,97,17.86
17,LaMAR COOK,69,12.71
18,SEAN CURRAN.,23,4.24
19,KENCY GILET.,4,.74
20,JOHNNIE RAY MCKNIGHT.,29,5.34
21,KELLI P. MORIARTY-FINN,15,2.76
22,CHRISTOPHER J. POHNER,12,2.21
23,ISRAEL RIVERA,32,5.89
24,WRITE-IN.,2,.37
25,Blanks,287,
26,CITY COUNCIL WARD 4,,
27,VOTE FOR 1,,
28,MALO L. BROWN,80,49.38
29,LORENZO D. GAINES.,30,18.52
30,LARRY LAWSON,3,1.85
31,JYNAI S. MCDONALD.,46,28.40
32,"GEORGE A. SAVAGE, JR.",2,1.23
33,WRITE-IN,1,.62
34,Blanks,4,
