,0305 3E VOTES,,PERCENT
0,1310 REGISTERED VOTERS - TOTAL BALLOTS CAST - TOTAL.,93,7.10
1,VOTER TURNOUT - TOTAL,,
2,MAYOR,,
3,VOTE FOR 1,78,86.67
4,DOMENIC J. SARNO,12,13.33
5,SALVATORE S. CIRCOSTA,0,
6,WRITE-IN.,3,
7,Blanks,,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,55,17.30
10,THOMAS ASHE.,55,17.30
11,JUSTIN J. HURST,37,11.64
12,TIMOTHY J. ROOKE,46,14.47
13,KATERI B. WALSH,58,18.24
14,BUD L. WILLIAMS,18,5.66
15,LaMAR COOK,4,1.26
16,JEFFERY P. DONNELLY,20,6.29
17,JESSE L. LEDERMAN.,9,2.83
18,"KENNETH S. POOLER, JR",15,4.72
19,ALEXANDER J. SHERMAN.,1,.31
20,WRITE-IN.,147,
21,Blanks,,
22,WARD THREE COUNCILLOR,,
23,VOTE FOR 1,49,57.65
24,MELVIN A. EDWARDS.,36,42.35
25,YOLANDA R. L. CANCEL.,,0
26,WRITE-IN.,,8
27,Blanks,,
28,QUESTION 1,,
29,VOTE FOR 1,,56 67.47
30,YES (SI),,27 32.53
31,NO (NO),,10
32,Blanks QUESTION 2,,
33,VOTE FOR 1,,47 59.49
34,YES (SI),,32 40.51
35,NO (NO),,14
