,0603 6C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1655,
1,BALLOTS CAST - TOTAL.,429,
2,VOTER TURNOUT - TOTAL,,25.92
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,352,82.63
6,JOSE F. TOSADO.,71,16.67
7,WRITE-IN,3,.70
8,Blanks,3,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,260,16.79
11,JAMES J. FERRERA,188,12.14
12,TIMOTHY J. ROOKE,195,12.59
13,KATERI B. WALSH,231,14.91
14,JOSEPH R. FOUNTAIN,98,6.33
15,JUSTIN J. HURST,128,8.26
16,AMAAD RIVERA,120,7.75
17,CHARLES H. RUCKS,86,5.55
18,MIGUEL A. SOTO.,68,4.39
19,BUD L. WILLIAMS,166,10.72
20,WRITE-IN,9,.58
21,Blanks,596,
22,CITY COUNCIL WARD 6,,
23,VOTE FOR 1,,
24,KENNETH E. SHEA,281,95.25
25,WRITE-IN.,14,4.75
26,Blanks,134,
