,REGISTERED VOTERS - TOTAL,1238,
0,BALLOTS CAST - TOTAL,106,
1,VOTER TURNOUT - TOTAL,,8.56
2,CITY COUNCIL AT LARGE,,
3,VOTE FOR 5,,
4,THOMAS M. ASHE.,51,13.97
5,JAMES J. FERRERA,41,11.23
6,TIMOTHY ROOKE,37,10.14
7,KATERI B. WALSH .,44,12.05
8,BUD L. WILLIAMS .,48,13.15
9,JOSHUA CARPENTER,29,7.95
10,ERNESTO E. CRUZ,38,10.41
11,JEFFERY P. DONNELLY,34,9.32
12,JUSTIN J. HURST,41,11.23
13,WRITE-IN.,2,.55
14,Blanks,165,
15,CITY COUNCIL WARD 8,,
16,VOTE FOR 1,,
17,JOHN A. LYSAK,31,30.69
18,ORLANDO RAMOS,70,69.31
19,WRITE-IN.,0,
20,Blanks,5,
21,SCHOOL COMMITTEE AT LARGE,,
22,VOTE FOR 2,,
23,DENISE M. HURST,47,30.32
24,ANTONETTE PEPE.,56,36.13
25,CALVIN J. McFADDEN,52,33.55
26,WRITE-IN.,0,
27,Blanks,57,
28,SCHOOL COMMITTEE DISTRICT 4,,
29,VOTE FOR 1,,
30,PETER M. MURPHY,46,51.11
31,ZAIDA GOVAN.,43,47.78
32,WRITE-IN.,1,1.11
33,Blanks,16,
