,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1408,
1,BALLOTS CAST - TOTAL.,112,
2,VOTER TURNOUT - TOTAL,,7.95
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,59,52.68
6,ANTONETTE E. PEPE.,20,17.86
7,JOSE F. TOSADO.,33,29.46
8,WRITE-IN.,0,
9,Blanks,1,
10,,,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,THOMAS ASHE.,52,13.16
14,JAMES J. FERRERA,48,12.15
15,TIMOTHY J. ROOKE,37,9.37
16,KATERI B. WALSH,46,11.65
17,BRUCE SAMUEL ADAMS JR,16,4.05
18,DAVID F. CIAMPI,15,3.80
19,JOSEPH R. FOUNTAIN,12,3.04
20,JUSTIN J. HURST,28,7.09
21,AMAAD RIVERA,34,8.61
22,CHARLES H. RUCKS .,17,4.30
23,MIGUEL A. SOTO. .,25,6.33
24,JOHN W. STEVENS .,18,4.56
25,BUD L. WILLIAMS .,44,11.14
26,WRITE-IN.,3,.76
27,Blanks,170,
