,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1662,
1,BALLOTS CAST - TOTAL,80,
2,VOTER TURNOUT - TOTAL,,4.81
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,30,11.81
6,JUSTIN J. HURST,36,14.17
7,KATERI B. WALSH,31,12.20
8,ERNESTO E. CRUZ,39,15.35
9,VICTOR G. DAVILA,26,10.24
10,JESSE LEDERMAN. .,21,8.27
11,JYNAI S. McDONALD.,21,8.27
12,KELLI P. MORIARTY-FINN,13,5.12
13,TIMOTHY RYAN,18,7.09
14,TRACYE L. WHITFIELD,19,7.48
15,WRITE-IN.,0,
16,Blanks,146,
17,CITY COUNCIL WARD 3,,
18,VOTE FOR 1,,
19,MELVIN A. EDWARDS.,51,72.86
20,KEVIN J. DUMPSON,16,22.86
21,WRITE-IN.,3,4.29
22,Blanks,10,
23,SCHOOL COMMITTEE AT LARGE,,
24,VOTE FOR 2,,
25,DENISE MARIE HURST,40,33.90
26,JAMES J. FERRERA III.,38,32.20
27,RYAN HESS,5,4.24
28,LaTONIA MONROE NAYLOR,33,27.97
29,WRITE-IN.,2,1.69
30,Blanks,42,
31,SCHOOL COMMITTEE DISTRICT 1,,
32,VOTE FOR 1,,
33,MARIA PEREZ.,42,91.30
34,WRITE-IN.,4,8.70
35,Blanks,34,
