,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1354,
1,BALLOTS CAST - TOTAL.,281,
2,VOTER TURNOUT - TOTAL,,20.75
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,107,38.21
6,JOSE F. TOSADO.,173,61.79
7,WRITE-IN.,0,
8,Blanks,1,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,84,10.14
12,JAMES J. FERRERA,94,11.35
13,TIMOTHY J. ROOKE,62,7.49
14,KATERI B. WALSH .,61,7.37
15,JOSEPH R. FOUNTAIN .,40,4.83
16,JUSTIN J. HURST .,77,9.30
17,AMAAD RIVERA .,169,20.41
18,CHARLES H. RUCKS,32,3.86
19,MIGUEL A. SOTO.,132,15.94
20,BUD L. WILLIAMS,76,9.18
21,WRITE-IN.,1,.12
22,Blanks,577,
23,CITY COUNCIL WARD 1,,
24,VOTE FOR 1,,
25,ZAIDA LUNA,214,84.58
26,WRITE-IN.,39,15.42
27,Blanks,28,
