,0605 6E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1347,
1,BALLOTS CAST - TOTAL.,144,
2,VOTER TURNOUT - TOTAL,,10.69
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,101,73.72
6,SALVATORE S. CIRCOSTA,36,26.28
7,WRITE-IN.,0,
8,Blanks,7,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,88,16.30
12,JUSTIN J. HURST,68,12.59
13,TIMOTHY J. ROOKE,75,13.89
14,KATERI B. WALSH,86,15.93
15,BUD L. WILLIAMS,79,14.63
16,LaMAR COOK,26,4.81
17,JEFFERY P. DONNELLY,21,3.89
18,JESSE L. LEDERMAN.,52,9.63
19,"KENNETH S. POOLER, JR",24,4.44
20,ALEXANDER J. SHERMAN.,17,3.15
21,WRITE-IN,4,.74
22,Blanks,180,
23,WARD SIX COUNCILLOR,,
24,VOTE FOR 1,,
25,KENNETH SHEA,57,43.51
26,KIM M. RIVERA,74,56.49
27,WRITE-IN,0,
28,Blanks,13,
29,QUESTION 1,,
30,VOTE FOR 1,,
31,YES (SI),101,75.94
32,NO (NO),32,24.06
33,Blanks,11,
34,QUESTION 2,,
35,VOTE FOR 1,,
36,YES (SI),69,54.33
37,NO (NO),58,45.67
38,Blanks,17,
