,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1319,
1,BALLOTS CAST - TOTAL.,118,
2,VOTER TURNOUT - TOTAL,,8.95
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,67,57.26
6,ANTONETTE E. PEPE.,14,11.97
7,JOSE F. TOSADO.,36,30.77
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,38,11.08
13,JAMES J. FERRERA,40,11.66
14,TIMOTHY J. ROOKE,36,10.50
15,KATERI B. WALSH,32,9.33
16,BRUCE SAMUEL ADAMS JR,13,3.79
17,DAVID F. CIAMPI,17,4.96
18,JOSEPH R. FOUNTAIN,9,2.62
19,JUSTIN J. HURST,24,7.00
20,AMAAD RIVERA,44,12.83
21,CHARLES H. RUCKS,13,3.79
22,MIGUEL A. SOTO.,29,8.45
23,JOHN W. STEVENS,13,3.79
24,BUD L. WILLIAMS,35,10.20
25,WRITE-IN.,0,
26,Blanks,247,
