,0503 5C,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1421,
1,BALLOTS CAST - TOTAL.,213,
2,VOTER TURNOUT . TOTAL,,14.99
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,137,64.62
6,ANTONETTE E. PEPE.,35,16.51
7,JOSE F. TOSADO.,40,18.87
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,107,14.48
12,JAMES J. FERRERA,63,8.53
13,TIMOTHY J. ROOKE,94,12.72
14,KATERI B. WALSH,87,11.77
15,BRUCE SAMUEL ADAMS JR,18,2.44
16,DAVID F. CIAMPI,14,1.89
17,JOSEPH R. FOUNTAIN,29,3.92
18,JUSTIN J. HURST,86,11.64
19,AMAAD RIVERA,37,5.01
20,CHARLES H. RUCKS,54,7.31
21,MIGUEL A. SOTO.,29,3.92
22,JOHN W. STEVENS,17,2.30
23,BUD L. WILLIAMS,104,14.07
24,WRITE-IN.,0,
25,Blanks,326,
