,0104 1D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1712,
1,BALLOTS CAST - TOTAL.,79,
2,VOTER TURNOUT - TOTAL,,4.61
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,32,12.21
6,JUSTIN J. HURST,32,12.21
7,KATERI B. WALSH,28,10.69
8,ERNESTO E. CRUZ,44,16.79
9,VICTOR G. DAVILA,25,9.54
10,JESSE LEDERMAN.,21,8.02
11,JYNAI S. McDONALD.,19,7.25
12,KELLI P. MORIARTY-FINN,16,6.11
13,TIMOTHY RYAN,32,12.21
14,TRACYE L. WHITFIELD,13,4.96
15,WRITE-IN,0,
16,Blanks,133,
17,CITY COUNCIL WARD 1 VOTE FOR 1,,
18,ADAM GOMEZ,53,100.00
19,WRITE-IN.,0,
20,Blanks,26,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,34,33.01
23,JAMES J. FERRERA III.,38,36.89
24,RYAN HESS,7,6.80
25,LaTONIA MONROE NAYLOR,24,23.30
26,WRITE-IN.,0,
27,Blanks,55,
28,SCHOOL COMMITTEE DISTRICT 1,,
29,VOTE FOR 1,,
30,MARIA PEREZ.,50,98.04
31,WRITE-IN.,1,1.96
32,Blanks,28,
