,0406 4F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,534,
1,BALLOTS CAST - TOTAL.,90,
2,VOTER TURNOUT . TOTAL,,16.85
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,70,77.78
6,JOSE F. TOSADO.,20,22.22
7,WRITE-IN,0,
8,Blanks,0,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,29,10.39
12,JAMES J. FERRERA,20,7.17
13,TIMOTHY J. ROOKE,11,3.94
14,KATERI B. WALSH .,23,8.24
15,JOSEPH R. FOUNTAIN,11,3.94
16,JUSTIN J. HURST,52,18.64
17,AMAAD RIVERA,17,6.09
18,CHARLES H. RUCKS,47,16.85
19,MIGUEL A. SOTO.,11,3.94
20,BUD L. WILLIAMS,55,19.71
21,WRITE-IN.,3,1.08
22,Blanks,171,
23,CITY COUNCIL WARD 4 VOTE FOR 1,,
24,E. HENRY TWIGGS,63,100.00
25,WRITE-IN.,0,
26,Blanks,27,
