,0103 1C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1349,
1,BALLOTS CAST - TOTAL.,182,
2,VOTER TURNOUT - TOTAL,,13.49
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,54,30.00
6,JOSE F. TOSADO.,125,69.44
7,WRITE-IN.,1,.56
8,Blanks,2,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,49,10.27
11,JAMES J. FERRERA,66,13.84
12,TIMOTHY J. ROOKE,33,6.92
13,KATERI B. WALSH .,36,7.55
14,JOSEPH R. FOUNTAIN .,21,4.40
15,JUSTIN J. HURST,34,7.13
16,AMAAD RIVERA,90,18.87
17,CHARLES H. RUCKS,14,2.94
18,MIGUEL A. SOTO.,85,17.82
19,BUD L. WILLIAMS,46,9.64
20,WRITE-IN,3,.63
21,Blanks,433,
22,CITY COUNCIL WARD 1,,
23,VOTE FOR 1,,
24,ZAIDA LUNA,128,94.12
25,WRITE-IN.,8,5.88
26,Blanks,46,
