,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1550,
1,,BALLOTS CAST - TOTAL.,334,
2,,VOTER TURNOUT - TOTAL,,21.55
3,,MAYOR,,
4,,VOTE FOR 1,,
5,,DOMENIC J. SARNO,230,69.49
6,,JOSE F. TOSADO.,101,30.51
7,,WRITE-IN,0,
8,,Blanks,3,
9,,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,,THOMAS ASHE.,163,13.43
11,,JAMES J. FERRERA,131,10.79
12,,TIMOTHY J. ROOKE,147,12.11
13,,KATERI B. WALSH,152,12.52
14,,JOSEPH R. FOUNTAIN,79,6.51
15,,JUSTIN J. HURST,121,9.97
16,,AMAAD RIVERA,104,8.57
17,,CHARLES H. RUCKS,83,6.84
18,,MIGUEL A. SOTO.,84,6.92
19,,BUD L. WILLIAMS,149,12.27
20,,WRITE-IN.,1,.08
21,,Blanks,456,
22,,CITY COUNCIL WARD 8,,
23,,VOTE FOR 1,,
24,,JOHN A. LYSAK,167,54.40
25,,ORLANDO RAMOS,140,45.60
26,,WRITE-IN.,0,
27,,Blanks,27,
