,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1514,
1,BALLOTS CAST - TOTAL.,267,
2,VOTER TURNOUT - TOTAL,,17.64
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,162,61.36
6,JOSE F. TOSADO.,101,38.26
7,WRITE-IN.,1,.38
8,Blanks,3,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,130,12.86
11,JAMES J. FERRERA,107,10.58
12,TIMOTHY J. ROOKE,107,10.58
13,KATERI B. WALSH,106,10.48
14,JOSEPH R. FOUNTAIN,61,6.03
15,JUSTIN J. HURST,115,11.37
16,AMAAD RIVERA,87,8.61
17,CHARLES H. RUCKS,73,7.22
18,MIGUEL A. SOTO.,86,8.51
19,BUD L. WILLIAMS,139,13.75
20,WRITE-IN,0,
21,Blanks,324,
22,CITY COUNCIL WARD 8,,
23,VOTE FOR 1,,
24,JOHN A. LYSAK,107,45.15
25,ORLANDO RAMOS,130,54.85
26,WRITE-IN.,0,
27,Blanks,30,
