,0101 1A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1787,
1,BALLOTS CAST - TOTAL.,73,
2,VOTER TURNOUT . TOTAL,,4.09
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,28,12.44
6,JUSTIN J. HURST,25,11.11
7,KATERI B. WALSH .,21,9.33
8,ERNESTO E. CRUZ .,42,18.67
9,VICTOR G. DAVILA,33,14.67
10,JESSE LEDERMAN.,30,13.33
11,JYNAI S. McDONALD.,16,7.11
12,KELLI P. MORIARTY-FINN,5,2.22
13,TIMOTHY RYAN,17,7.56
14,TRACYE L. WHITFIELD,7,3.11
15,WRITE-IN.,1,.44
16,Blanks,140,
17,CITY COUNCIL WARD 1,,
18,VOTE FOR 1,,
19,ADAM GOMEZ,62,98.41
20,WRITE-IN.,1,1.59
21,Blanks,10,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,31,31.96
24,JAMES J. FERRERA III.,41,42.27
25,RYAN HESS,10,10.31
26,LaTONIA MONROE NAYLOR,12,12.37
27,WRITE-IN.,3,3.09
28,Blanks,49,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,MARIA PEREZ.,52,100.00
32,WRITE-IN.,0,
33,Blanks,21,
