,0604 6D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1565,
1,BALLOTS CAST . TOTAL.,422,
2,VOTER TURNOUT - TOTAL,,26.96
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,331,80.15
6,SALVATORE S. CIRCOSTA,82,19.85
7,WRITE-IN.,0,
8,Blanks,9,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,279,18.22
12,JUSTIN J. HURST,184,12.02
13,TIMOTHY J. ROOKE,257,16.79
14,KATERI B. WALSH,251,16.39
15,BUD L. WILLIAMS,176,11.50
16,LaMAR COOK,52,3.40
17,JEFFERY P. DONNELLY,72,4.70
18,JESSE L. LEDERMAN.,126,8.23
19,"KENNETH S. POOLER, JR",80,5.23
20,ALEXANDER J. SHERMAN.,51,3.33
21,WRITE-IN,3,.20
22,Blanks,579,
23,WARD SIX COUNCILLOR,,
24,VOTE FOR 1,,
25,KENNETH SHEA,293,79.40
26,KIM M. RIVERA,75,20.33
27,WRITE-IN,1,.27
28,Blanks,53,
29,QUESTION 1,,
30,VOTE FOR 1,,
31,YES (SI),216,56.99
32,NO (NO),163,43.01
33,Blanks,43,
34,QUESTION 2,,
35,VOTE FOR 1,,
36,YES (SI),171,49.28
37,NO (NO),176,50.72
38,Blanks,75,
