,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1319,
1,BALLOTS CAST - TOTAL.,55,
2,VOTER TURNOUT - TOTAL,,4.17
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,25,14.12
6,JUSTIN J. HURST,25,14.12
7,KATERI B. WALSH . .,28,15.82
8,ERNESTO E. CRUZ . .,14,7.91
9,VICTOR G. DAVILA .,14,7.91
10,JESSE LEDERMAN. . .,17,9.60
11,JYNAI S. McDONALD.,14,7.91
12,KELLI P. MORIARTY-FINN,9,5.08
13,TIMOTHY RYAN,15,8.47
14,TRACYE L. WHITFIELD,14,7.91
15,WRITE-IN.,2,1.13
16,Blanks,98,
17,CITY COUNCIL WARD 8,,
18,VOTE FOR 1,,
19,ORLANDO RAMOS,33,86.84
20,WRITE-IN.,5,13.16
21,Blanks,17,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,31,38.75
24,JAMES J. FERRERA III.,18,22.50
25,RYAN HESS,7,8.75
26,LaTONIA MONROE NAYLOR,24,30.00
27,WRITE-IN.,0,
28,Blanks,30,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,15,34.09
32,ZAIDA GOVAN.,28,63.64
33,WRITE-IN.,1,2.27
34,Blanks,11,
