,,0108 1H VOTES,,PERCENT
0,,REGISTERED VOTERS - TOTAL CAST - TOTAL.,1624 145,8.93
1,,BALLOTS VOTER TURNOUT - TOTAL,,
2,,MAYOR,,
3,,VOTE FOR 1,106,76.81
4,,DOMENIC J. SARNO,30,21.74
5,,SALVATORE S. CIRCOSTA,2,1.45
6,,WRITE-IN.,7,
7,,Blanks,,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,68,14.20
10,,THOMAS ASHE.,72,15.03
11,,JUSTIN J. HURST,65,13.57
12,,TIMOTHY J. ROOKE,66,13.78
13,,KATERI B. WALSH,75,15.66
14,,BUD L. WILLIAMS,27,5.64
15,,LaMAR COOK,19,3.97
16,,JEFFERY P. DONNELLY,42,8.77
17,,JESSE L. LEDERMAN.,18,3.76
18,,KENNETH S. POOLER. JR,25,5.22
19,,ALEXANDER J. SHERMAN.,2,.42
20,,WRITE-IN.,246,
21,,Blanks,,
22,,WARD ONE COUNCILLOR,,
23,,VOTE FOR 1,48,38.71
24,,ZAIDA LUNA,76,61.29
25,,ADAM GOMEZ,0,
26,,WRITE-IN.,21,
27,,Blanks QUESTION 1,,
28,,VOTE FOR 1,,95 79.83
29,,YES (SI),,24 20.17
30,,NO (NO),,26
31,,Blanks QUESTION 2,,
32,,VOTE FOR 1,,83 73.45
33,,YES (SI),,30 26.55
34,,NO (NO),,32
