,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1985,
1,BALLOTS CAST - TOTAL.,329,
2,VOTER TURNOUT - TOTAL,,16.57
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,221,67.79
6,ANTONETTE E. PEPE.,46,14.11
7,JOSE F. TOSADO.,59,18.10
8,WRITE-IN,0,
9,Blanks,3,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,166,13.60
12,JAMES J. FERRERA,116,9.50
13,TIMOTHY J. ROOKE,131,10.73
14,KATERI B. WALSH,158,12.94
15,BRUCE SAMUEL ADAMS JR,41,3.36
16,DAVID F. CIAMPI,25,2.05
17,JOSEPH R. FOUNTAIN,49,4.01
18,JUSTIN J. HURST,126,10.32
19,AMAAD RIVERA,73,5.98
20,CHARLES H. RUCKS,83,6.80
21,MIGUEL A. SOTO.,53,4.34
22,JOHN W. STEVENS,36,2.95
23,BUD L. WILLIAMS,162,13.27
24,WRITE-IN.,2,.16
25,Blanks,424,
