,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1498,
1,BALLOTS CAST - TOTAL,98,
2,VOTER TURNOUT - TOTAL,,6.54
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,42,13.00
6,JAMES J. FERRERA,32,9.91
7,TIMOTHY ROOKE,36,11.15
8,KATERI B. WALSH .,37,11.46
9,BUD L. WILLIAMS .,65,20.12
10,JOSHUA CARPENTER .,11,3.41
11,ERNESTO E. CRUZ,50,15.48
12,JEFFERY P. DONNELLY,7,2.17
13,JUSTIN J. HURST,43,13.31
14,WRITE-IN,0,
15,Blanks,167,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,73,81.11
19,SALVATORE S. CIRCOSTA,17,18.89
20,WRITE-IN.,0,
21,Blanks,8,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE M. HURST,57,38.78
24,ANTONETTE PEPE.,40,27.21
25,CALVIN J. McFADDEN,50,34.01
26,WRITE-IN.,0,
27,Blanks,49,
28,SCHOOL COMMITTEE DISTRICT 1,,
29,VOTE FOR 1,,
30,NORMAN ROLDAN,23,28.40
31,ROSA PEREZ,58,71.60
32,WRITE-IN.,0,
33,Blanks,17,
