,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1720,
1,BALLOTS CAST - TOTAL.,206,
2,VOTER TURNOUT - TOTAL,,11.98
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,133,65.20
6,ANTONETTE E. PEPE,20,9.80
7,JOSE F. TOSADO.,51,25.00
8,WRITE-IN.,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,106,15.34
13,JAMES J. FERRERA,56,8.10
14,TIMOTHY J. ROOKE,74,10.71
15,KATERI B. WALSH,84,12.16
16,BRUCE SAMUEL ADAMS JR,24,3.47
17,DAVID F. CIAMPI,15,2.17
18,JOSEPH R. FOUNTAIN,32,4.63
19,JUSTIN J. HURST,77,11.14
20,AMAAD RIVERA,35,5.07
21,CHARLES H. RUCKS,28,4.05
22,MIGUEL A. SOTO.,43,6.22
23,JOHN W. STEVENS .,33,4.78
24,BUD L. WILLIAMS,84,12.16
25,WRITE-IN.,0,
26,Blanks,339,
