,0206 2F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1654,
1,BALLOTS CAST - TOTAL.,362,
2,VOTER TURNOUT - TOTAL,,21.89
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,228,63.87
6,JOSE F. TOSADO.,128,35.85
7,WRITE-IN,1,.28
8,Blanks,5,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,210,15.40
12,JAMES J. FERRERA,179,13.12
13,TIMOTHY J. ROOKE,167,12.24
14,KATERI B. WALSH,142,10.41
15,JOSEPH R. FOUNTAIN,117,8.58
16,JUSTIN J. HURST,95,6.96
17,AMAAD RIVERA,130,9.53
18,CHARLES H. RUCKS,72,5.28
19,MIGUEL A. SOTO.,109,7.99
20,BUD L. WILLIAMS,141,10.34
21,WRITE-IN,2,.15
22,Blanks,446,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,264,99.62
26,WRITE-IN.,1,.38
27,Blanks,97,
