,REGISTERED VOTERS - TOTAL,VOTES 1606,PERCENT
0,BALLOTS CAST - TOTAL.,406,
1,VOTER TURNOUT - TOTAL,,25.28
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,303,76.13
5,SALVATORE S. CIRCOSTA,94,23.62
6,WRITE-IN.,1,.25
7,Blanks,8,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,243,16.75
11,JUSTIN J. HURST,222,15.30
12,TIMOTHY J. ROOKE,218,15.02
13,KATERI B. WALSH,214,14.75
14,BUD L. WILLIAMS,207,14.27
15,LaMAR COOK,54,3.72
16,JEFFERY P. DONNELLY,80,5.51
17,JESSE L. LEDERMAN.,93,6.41
18,"KENNETH S. POOLER, JR",55,3.79
19,ALEXANDER J. SHERMAN.,61,4.20
20,WRITE-IN.,4,.28
21,Blanks,579,
22,WARD FIVE COUNCILLOR VOTE FOR 1,,
23,CLODO CONCEPCION,167,44.65
24,MARCUS J. WILLIAMS,206,55.08
25,WRITE-IN.,1,.27
26,Blanks,32,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI),236,63.61
30,NO (NO),135,36.39
31,Blanks,35,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI),185,53.47
35,NO (NO),161,46.53
36,Blanks,60,
