,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1461,
1,BALLOTS CAST - TOTAL.,90,
2,VOTER TURNOUT - TOTAL,,6.16
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,53,62.35
6,YOLANDA CANCEL.,25,29.41
7,JEFFERY P. DONNELLY,2,2.35
8,LINDA MATYS 0'CONNELL,4,4.71
9,WRITE-IN.,1,1.18
10,Blanks,5,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,61,20.27
14,JESSE LEDERMAN.,40,13.29
15,KATERI B. WALSH,40,13.29
16,TRACYE L. WHITFIELD,55,18.27
17,LaMAR COOK,45,14.95
18,SEAN CURRAN.,11,3.65
19,KENCY GILET.,9,2.99
20,JOHNNIE RAY MCKNIGHT.,20,6.64
21,KELLI P. MORIARTY-FINN,1,.33
22,CHRISTOPHER J. POHNER,5,1.66
23,ISRAEL RIVERA,14,4.65
24,WRITE-IN.,0,
25,Blanks,149,
26,CITY COUNCIL WARD 4,,
27,VOTE FOR 1,,
28,MALO L. BROWN,47,54.02
29,LORENZO D. GAINES.,7,8.05
30,LARRY LAWSON,3,3.45
31,JYNAI S. MCDONALD.,27,31.03
32,"GEORGE A. SAVAGE, JR.",3,3.45
33,WRITE-IN.,0,
34,Blanks,3,
