,0408 4H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1417,
1,BALLOTS CAST - TOTAL.,236,
2,VOTER TURNOUT - TOTAL,,16.65
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,185,78.39
6,JOSE F. TOSADO.,50,21.19
7,WRITE-I,1,.42
8,Blanks,0,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,86,10.49
12,JAMES J. FERRERA,61,7.44
13,TIMOTHY J. ROOKE,72,8.78
14,KATERI B. WALSH .,82,10.00
15,JOSEPH R. FOUNTAIN .,16,1.95
16,JUSTIN J. HURST .,133,16.22
17,AMAAD RIVERA .,42,5.12
18,CHARLES H. RUCKS .,104,12.68
19,MIGUEL A. SOTO.,45,5.49
20,BUD L. WILLIAMS,179,21.83
21,WRITE-IN.,0,
22,Blanks,360,
23,CITY COUNCIL WARD 4 VOTE FOR 1,,
24,E. HENRY TWIGGS,169,99.41
25,WRITE-IN.,1,.59
26,Blanks,66,
