,0108 1H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1406,
1,BALLOTS CAST . TOTAL.,155,
2,VOTER TURNOUT . TOTAL,,11.02
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,85,54.84
6,JOSE F. TOSADO.,70,45.16
7,WRITE-IN,0,
8,Blanks,0,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,65,12.97
11,JAMES J. FERRERA,57,11.38
12,TIMOTHY J. ROOKE,43,8.58
13,KATERI B. WALSH,46,9.18
14,JOSEPH R. FOUNTAIN,22,4.39
15,JUSTIN J. HURST,55,10.98
16,AMAAD RIVERA,61,12.18
17,CHARLES H. RUCKS,40,7.98
18,MIGUEL A. SOTO.,57,11.38
19,BUD L. WILLIAMS,55,10.98
20,WRITE-IN,0,
21,Blanks,274,
22,CITY COUNCIL WARD 1,,
23,VOTE FOR 1,,
24,ZAIDA LUNA,106,98.15
25,WRITE-IN.,2,1.85
26,Blanks,47,
