,0505 5E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1990,
1,BALLOTS CAST - TOTAL.,517,
2,VOTER TURNOUT - TOTAL,,25.98
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,396,77.50
6,JOSE F. TOSADO.,113,22.11
7,WRITE-IN,2,.39
8,Blanks,6,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,287,14.63
12,JAMES J. FERRERA,223,11.37
13,TIMOTHY J. ROOKE,235,11.98
14,KATERI B. WALSH,255,13.00
15,JOSEPH R. FOUNTAIN,117,5.96
16,JUSTIN J. HURST,237,12.08
17,AMAAD RIVERA,103,5.25
18,CHARLES H. RUCKS,138,7.03
19,MIGUEL A. SOTO.,88,4.49
20,BUD L. WILLIAMS,277,14.12
21,WRITE-IN.,2,.10
22,Blanks,623,
23,CITY COUNCIL WARD 5,,
24,VOTE FOR 1,,
25,CLODO CONCEPCION,290,99.32
26,WRITE-IN.,2,.68
27,Blanks,225,
