,0405 4E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1391,
1,BALLOTS CAST - TOTAL.,189,
2,VOTER TURNOUT - TOTAL,,13.59
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,135,72.58
6,JOSE F. TOSADO.,51,27.42
7,WRITE-IN,0,
8,Blanks,3,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,63,10.33
12,JAMES J. FERRERA,48,7.87
13,TIMOTHY J. ROOKE,43,7.05
14,KATERI B. WALSH,61,10.00
15,JOSEPH R. FOUNTAIN,15,2.46
16,JUSTIN J. HURST,101,16.56
17,AMAAD RIVERA,51,8.36
18,CHARLES H. RUCKS,71,11.64
19,MIGUEL A. SOTO.,48,7.87
20,BUD L. WILLIAMS,108,17.70
21,WRITE-IN,1,.16
22,Blanks,335,
23,CITY COUNCIL WARD 4,,
24,VOTE FOR 1,,
25,E. HENRY TWIGGS,120,99.17
26,WRITE-IN.,1,.83
27,Blanks,68,
