,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1492,
1,BALLOTS CAST - TOTAL.,179,
2,VOTER TURNOUT - TOTAL,,12.00
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,116,65.54
6,ANTONETTE E. PEPE.,11,6.21
7,JOSE F. TOSADO.,50,28.25
8,WRITE-IN,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,56,10.22
12,JAMES J. FERRERA,37,6.75
13,TIMOTHY J. ROOKE,41,7.48
14,KATERI B. WALSH,60,10.95
15,BRUCE SAMUEL ADAMS JR,14,2.55
16,DAVID F. CIAMPI,6,1.09
17,JOSEPH R. FOUNTAIN,10,1.82
18,JUSTIN J. HURST,89,16.24
19,AMAAD RIVERA,30,5.47
20,CHARLES H. RUCKS,62,11.31
21,MIGUEL A. SOTO.,24,4.38
22,JOHN W. STEVENS,11,2.01
23,BUD L. WILLIAMS,106,19.34
24,WRITE-IN.,2,.36
25,Blanks,347,
