,,0608 6H,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1521 279,
1,,BALLOTS CAST - TOTAL TURNOUT - TOTAL,,18.34
2,,VOTER MAYOR,,
3,,VOTE FOR 1,180,64.75
4,,DOMENIC J. SARNO,58,20.86
5,,ANTONETTE E. PEPE.,39,14.03
6,,JOSE F. TOSADO.,1,.36
7,,WRITE- IN.,1,
8,,Blanks,,
9,,CITY COUNCIL AT LARGE,,
10,,VOTE FOR 5,167,16.18
11,,THOMAS ASHE.,127,12.31
12,,JAMES J. FERRERA,145,14.05
13,,TIMOTHY J. ROOKE,144,13.95
14,,KATERI B. WALSH,53,5.14
15,,BRUCE SAMUEL ADAMS JR,26,2.52
16,,DAVID F. CIAMPI,44,4.26
17,,JOSEPH R. FOUNTAIN,61,5.91
18,,JUSTIN J. HURST,69,6.69
19,,AMAAD RIVERA,44,4.26
20,,CHARLES H. RUCKS,23,2.23
21,,MIGUEL A. SOTO.,43,4.17
22,,JOHN W. STEVENS,86,8.33
23,,BUD L. WILLIAMS,0,
24,,WRITE-IN.,363,
25,,Blanks,,
