,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1438,
1,BALLOTS CAST - TOTAL.,80,
2,VOTER TURNOUT - TOTAL,,5.56
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,52,66.67
6,YOLANDA CANCEL.,19,24.36
7,JEFFERY P. DONNELLY,2,2.56
8,LINDA MATYS O'CONNELL,5,6.41
9,WRITE-IN.,0,
10,Blanks,2,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,36,14.40
14,JESSE LEDERMAN.,34,13.60
15,KATERI B. WALSH,35,14.00
16,TRACYE L. WHITFIELD .,26,10.40
17,LaMAR COOK . .,16,6.40
18,SEAN CURRAN.,21,8.40
19,KENCY GILET.,3,1.20
20,JOHNNIE RAY MCKNIGHT.,14,5.60
21,KELLI P. MORIARTY-FINN,11,4.40
22,CHRISTOPHER J. POHNER,15,6.00
23,ISRAEL RIVERA,37,14.80
24,WRITE-IN,2,.80
25,Blanks,150,
