,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1337,
1,BALLOTS CAST - TOTAL,194,
2,VOTER TURNOUT - TOTAL,,14.51
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,161,83.85
6,SALVATORE S. CIRCOSTA,30,15.63
7,WRITE-IN.,1,.52
8,Blanks,2,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,121,17.14
12,JUSTIN J. HURST,99,14.02
13,TIMOTHY J. ROOKE,93,13.17
14,KATERI B. WALSH .,118,16.71
15,BUD L. WILLIAMS,96,13.60
16,LaMAR COOK,30,4.25
17,JEFFERY P. DONNELLY,31,4.39
18,JESSE L. LEDERMAN.,55,7.79
19,"KENNETH S. POOLER, JR",31,4.39
20,ALEXANDER J. SHERMAN.,29,4.11
21,WRITE-IN.,3,.42
22,Blanks,264,
23,,,
24,WARD SIX COUNCILLOR,,
25,VOTE FOR 1,,
26,KENNETH SHEA,109,63.74
27,KIM M. RIVERA,62,36.26
28,WRITE-IN.,0,
29,Blanks,23,
30,QUESTION 1,,
31,VOTE FOR 1,,
32,YES (SI).,129,68.98
33,NO (NO),58,31.02
34,Blanks,7,
35,QUESTION 2,,
36,VOTE FOR 1,,
37,YES (SI),98,58.68
38,NO (NO),69,41.32
39,Blanks,27,
