,0101 1A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1836,
1,BALLOTS CAST - TOTAL.,348,
2,VOTER TURNOUT - TOTAL,,18.95
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,98,28.65
6,JOSE F. TOSADO.,244,71.35
7,WRITE-IN,0,
8,Blanks,6,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,97,9.58
11,JAMES J. FERRERA,137,13.52
12,TIMOTHY J. ROOKE .,60,5.92
13,KATERI B. WALSH .,66,6.52
14,JOSEPH R. FOUNTAIN . .,66,6.52
15,JUSTIN J. HURST .,80,7.90
16,AMAAD RIVERA .,187,18.46
17,CHARLES H. RUCKS .,39,3.85
18,MIGUEL A. SOTO.,190,18.76
19,BUD L. WILLIAMS,88,8.69
20,WRITE-IN.,3,.30
21,Blanks,727,
22,CITY COUNCIL WARD 1,,
23,VOTE FOR 1,,
24,ZAIDA LUNA,274,95.14
25,WRITE-IN.,14,4.86
26,Blanks,60,
