,,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1397,
1,BALLOTS CAST - TOTAL.,109,
2,VOTER TURNOUT - TOTAL,,7.80
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,64,58.72
6,ANTONETTE E. PEPE.,15,13.76
7,JOSE F. TOSADO.,30,27.52
8,WRITE- IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,53,12.33
13,JAMES J. FERRERA,43,10.00
14,TIMOTHY J. ROOKE,37,8.60
15,KATERI B. WALSH,36,8.37
16,BRUCE SAMUEL ADAMS JR,14,3.26
17,DAVID F. CIAMPI,10,2.33
18,JOSEPH R. FOUNTAIN,20,4.65
19,JUSTIN J. HURST,44,10.23
20,AMAAD RIVERA,43,10.00
21,CHARLES H. RUCKS,25,5.81
22,MIGUEL A. SOTO.,24,5.58
23,JOHN W. STEVENS,13,3.02
24,BUD L. WILLIAMS,64,14.88
25,WRITE-IN.,4,.93
26,Blanks,120,
