,0102 1B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1321,
1,BALLOTS CAST - TOTAL.,198,
2,VOTER TURNOUT - TOTAL,,14.99
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,71,35.86
6,ANTONETTE E. PEPE.,12,6.06
7,JOSE F. TOSADO.,115,58.08
8,WRITE-1 IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,65,10.48
12,JAMES J. FERRERA,71,11.45
13,TIMOTHY J. ROOKE,55,8.87
14,KATERI B. WALSH,41,6.61
15,BRUCE SAMUEL ADAMS JR,20,3.23
16,DAVID F. CIAMPI,13,2.10
17,JOSEPH R. FOUNTAIN,12,1.94
18,JUSTIN J. HURST,36,5.81
19,AMAAD RIVERA,124,20.00
20,CHARLES H. RUCKS,9,1.45
21,MIGUEL A. SOTO.,103,16.61
22,JOHN W. STEVENS,11,1.77
23,BUD L. WILLIAMS,59,9.52
24,WRITE-IN.,1,.16
25,Blanks,370,
